mag_r,u-g,g-r,r-i,i-z,z_spec
18.397955,1.844572,1.586803,0.607498,0.296963,0.312207
17.015072,2.045866,1.270615,0.481834,0.291174,0.216881
17.685446,1.797176,1.866329,0.639872,0.391224,0.348578
18.208889,1.995337,1.463654,0.57205,0.392288,0.298156
16.685913,1.95083,1.214834,0.451654,0.353648,0.186035
17.861696,1.794863,1.233154,0.450869,0.361181,0.188833
19.685577,1.614969,1.624767,0.782543,0.373539,0.502601
18.645742,1.054689,1.793812,0.599192,0.347431,0.302692
19.374451,2.097315,1.707313,0.701017,0.414577,0.405657
17.390638,2.050879,1.205145,0.434237,0.359707,0.205432
17.745365,2.139875,1.270405,0.488026,0.254925,0.20203
18.443882,1.591606,1.721754,0.609251,0.321304,0.337171
19.380604,1.698893,1.58762,0.779522,0.47624,0.432019
19.128199,2.146696,1.718679,0.692568,0.468134,0.430819
20.120152,1.296736,1.42979,0.775755,0.410009,0.514557
17.707418,1.757019,1.755672,0.613302,0.390152,0.374289
18.428316,1.32103,1.769686,0.593899,0.390808,0.334349
18.610769,1.621239,1.587496,0.542631,0.390705,0.371288
18.516579,1.764978,1.666084,0.564182,0.371422,0.357978
17.154503,1.751957,1.378748,0.548201,0.384796,0.216733
18.942097,1.854195,1.755228,0.599813,0.304926,0.33515
17.90519,1.956215,1.555721,0.561554,0.338652,0.284922
18.693987,1.806578,1.730822,0.574883,0.362568,0.339022
17.917576,2.003546,1.350929,0.53035,0.286049,0.229348
19.939125,1.326958,1.564852,0.760405,0.398926,0.451028
20.333637,1.67798,1.54143,0.787739,0.343693,0.481221
17.329777,2.148733,1.516483,0.558149,0.331015,0.283606
17.118055,1.906231,1.224718,0.480303,0.34444,0.189543
19.876215,1.19516,1.654602,0.79215,0.449879,0.474967
16.849955,1.979559,1.246757,0.462397,0.311607,0.166346
20.466433,1.930716,1.452765,0.796221,0.482698,0.510103
17.423683,1.902815,1.200375,0.456129,0.271662,0.20102
17.540756,1.770746,1.385029,0.52553,0.305933,0.23352
19.137371,1.164144,1.732546,0.646648,0.482098,0.419923
18.871042,1.098162,1.752777,0.689993,0.492725,0.40023
17.781448,2.16485,1.422214,0.520994,0.305906,0.259679
